Ba_003_1_06	682	Мари Димитро льо	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	Мари Димитро льо	
Ba_003_1_07	687	"Бати Коло, мамо, бати Кольо"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Бати Коло, мамо, бати Кольо"	
Ba_003_1_08	863	"Петлите пеят, любе, петлите пеят "	Хороводна (ръченица)	Ръченица	"Петлите пеят, любе, петлите пеят "	
Ba_003_1_09	821	"Събрали ми са, събрали"	Хороводна (на мегдана)	Пее се на мегдана	"Събрали ми са, събрали, селяни, все чорбаджата"	
Ba_003_1_10	649	Мари момичанце мънино	Хороводна (на засевки)	Пее се на засевки	"Мари момиченце мънино, що ми заминуваш дюкяна"	
Ba_003_1_11	636	Иван Руски йотговаря	Хороводна (на засевки)	Пее се на засевки	"Иван Руски отговари: Мари Руске, консу Руске"	
Ba_003_1_12	648	"Мари, любяли са мома й ерген от село"	Хороводна (на засевки)	Пее се на засевки	"Мари, любили са мома и ерген"	
Ba_003_1_13	717	"Тодоро, любе Тодоро"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Тодоро, любе Тодоро, що ти перото трепери"	
Ba_003_1_14	651	"Марийке Куцаричена, мари"	Хороводна (на засевки)	Пее се на засевки	"Марийке Куцаричена, мари"	
Ba_003_1_15	874	Научи са Добри	Хороводна (пее се на гръцката игра)	Пее се на гръцката игра	Научи са Добри в Жеравна да ходи	
Ba_003_1_16	689	"Бяла Недо Димирюва, мари"	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Бяла Недо Димирюва, мари, недей люби чифчийна"	
Ba_003_1_17	706	Отишла и Дена	Хороводна (на засевки на двора)	Пее се на засевки на двора	Отишла е Дена за вода студена	
Ba_003_1_18	802	"Кальо, бяла българко"	Хороводна (на мегдана)	Пее се на мегдана	"Кальо, бяла българко, фърли, метни ябълка"	
Ba_003_1_19	679	"Люби ле, люби ле, гол фудуляно"	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	"Люби ле, люби ле, гол фудуляно"	
Ba_003_1_20	642	"Кълни, мамчо льо, кого кълнеш"	Хороводна (на засевки)	Пее се на засевки	"Кълни, мамчо льо, кого кълнеш, само мене недей кълни"	
Ba_003_1_21	660	"Сънлива, дремлива дивойко"	Хороводна (на засевки)	Пее се на засевки	"Сънлива, дремлива девойко, сън та на хорото не пуска"	
Ba_003_1_22	694	Димчо Калинки думаше	Хороводна (на засевки на двора)	Пее се на засевки на двора	"Димчо Калинки думаше: Калинке, любе, Калинке"	
Ba_003_1_23	671	Гоняла й Радка телците	Хороводна (на засевки вкъщи)	Пее се на засевки вкъщи	"Гоняла е Радка телците, че си загубила калците"	
Ba_003_1_24	665	"Ходи, дойди, люби ле, д'вечера към дома"	Хороводна (на засевки)	Пее се на засевки	"Ходи, дойди, люби ле, довечера край дома"	
